Table A.3 – Annual Mean NO2 Monitoring Results,,,,,,,,,,,,,,
Title, X OS Grid Ref (Easting),Latitude, Y OS Grid Ref (Northing),Longitude, Site Type ,Monitoring Type, Valid Data Capture for Monitoring Period (%),Valid Data Capture 2019 (%),2015,2016,2017,2018,2019,
19,474123,52.2400628526,260760,-0.9158907385, Roadside, Diffusion Tube,91.7,91.7,29.4,33.1,32.5,29.6,29.5,
20,474165,52.2416392283,260936,-0.9152372113, Roadside, Diffusion Tube,91.7,91.7,35.9,48.3,41.4,37.2,38.1,
21,474103,52.2411801596,260884,-0.9161564397, Roadside, Diffusion Tube,91.7,91.7,33.5,44.0,35.1,34.1,34.3,
22,474105,52.2415933762,260930,-0.9161170853, Roadside, Diffusion Tube,91.7,91.7,40.8,44.4,35.0,35.6,34.9,
23,474173,52.2414853405,260919,-0.9151237945, Roadside, Diffusion Tube,91.7,91.7,48.4,53.3,43.8,40.7,42.6,
24,474216,52.2418480862,260960,-0.9144851737, Roadside, Diffusion Tube,91.7,91.7,39.5,39.2,31.9,28.3,30.6,
25,474335,52.2422994474,261012,-0.9127312702, Roadside, Diffusion Tube,91.7,91.7,33.5,39.7,37.0,31.3,33.2,
26,474136,52.2407981856,260842,-0.9156824339, Roadside, Diffusion Tube,91.7,91.7,39.9,53.0,44.3,42.9,44.4,
27,474241,52.2385907618,260598,-0.9141984883, Roadside, Diffusion Tube,91.7,91.7,37.5,46.7,40.2,36.1,36.5,
28,474304,52.2380609104,260540,-0.9132887923, Roadside, Diffusion Tube,83.3,83.3,31.0,37.3,33.0,31.1,29.5,
29,474388,52.237213606,260447,-0.9120793401, Roadside, Diffusion Tube,83.3,83.3,37.5,47.1,38.6,37.3,35.6,
30,475868,52.2409127957,260881,-0.8903131888, Roadside, Diffusion Tube,100.0,100.0,40.2,48.1,41.5,39.7,38.6,
31,475894,52.240981123,260889,-0.8899306935, Roadside, Diffusion Tube,83.3,83.3,39.3,50.6,51.4,43.5,43.0,
32,475983,52.2412295236,260918,-0.888621011, Roadside, Diffusion Tube,100.0,100.0,34.5,37.3,36.9,28.7,31.0,
33,475995,52.2411559574,260910,-0.8884470976, Roadside, Diffusion Tube,100.0,100.0,41.5,43.3,44.5,38.4,37.2,
34,476004,52.2412715693,260923,-0.8883123965, Roadside, Diffusion Tube,100.0,100.0,32.5,36.4,35.5,31.0,29.9,
35,476132,52.241586471,260960,-0.8864298382, Roadside, Diffusion Tube,100.0,100.0,41.0,48.9,43.1,37.3,37.3,
36,475361,52.2428430982,261088,-0.8976907992, Roadside, Diffusion Tube,100.0,100.0,44.0,50.4,47.2,39.4,38.8,
37,475253,52.2427050597,261071,-0.8992760282, Roadside, Diffusion Tube,100.0,100.0,37.5,48.6,39.5,37.3,37.9,
38,475354,52.2425654034,261057,-0.897800202, Roadside, Diffusion Tube,100.0,100.0,42.5,42.0,44.6,40.7,38.9,
39,475254,52.2425161581,261050,-0.8992660542, Roadside, Diffusion Tube,91.7,91.7,35.2,39.6,32.5,33.0,32.3,
40,475358,52.2433828367,261148,-0.8977213694, Roadside, Diffusion Tube,100.0,100.0,40.6,43.5,38.1,40.1,36.0,
41,475333,52.247548071,261611,-0.8979843842, Roadside, Diffusion Tube,91.7,91.7,34.5,38.8,38.6,31.8,33.9,
42,475342,52.2485895392,261727,-0.8978267537, Roadside, Diffusion Tube,100.0,100.0,38.3,41.5,36.7,36.2,34.0,
43,476529,52.2509696058,262010,-0.8803792893, Roadside, Diffusion Tube,83.3,83.3,29.3,36.1,33.0,33.2,31.7,
44,476579,52.2506120916,261971,-0.8796558369, Roadside, Diffusion Tube,100.0,100.0,44.5,47.5,46.1,41.6,39.3,
45,477304,52.2496478326,261875,-0.8690598159, Roadside, Diffusion Tube,91.7,91.7,37.6,39.2,38.7,31.5,33.8,
46,474537,52.2426316845,261052,-0.9097646029, Roadside, Diffusion Tube,100.0,100.0, -, -, -,46.6,44.1,
47/48/49,474021,52.2722830361,264343,-0.9165999046, Urban Background, Diffusion Tube,100.0,100.0,12.7,14.9,15.9,15.1,14.6,
50,475183,52.2657437025,263633,-0.8997315238, Roadside, Diffusion Tube,91.7,91.7,35.9,41.0,37.8,35.1,34.2,
51,475163,52.265656549,263623,-0.9000267592, Roadside, Diffusion Tube,100.0,100.0,36.7,36.1,36.9,34.5,30.8,
52,475190,52.2648528836,263534,-0.8996509962, Roadside, Diffusion Tube,91.7,91.7,44.1,48.5,40.9,41.9,32.8,
53,475165,52.2636608261,263401,-0.9000468324, Roadside, Diffusion Tube,100.0,100.0,44.8,45.0,48.7,41.6,39.1,
54,475177,52.2630030254,263328,-0.8998872708, Roadside, Diffusion Tube,100.0,100.0,45.1,48.7,45.8,43.8,41.3,
55,475160,52.2611716901,263124,-0.9001816764, Roadside, Diffusion Tube,91.7,91.7,40.7,44.4,46.1,40.1,33.5,
56,475128,52.260798542,263082,-0.9006597812, Roadside, Diffusion Tube,100.0,100.0,37.3,41.2,41.3,36.7,33.8,
57,475132,52.2597013968,262960,-0.9006283002, Roadside, Diffusion Tube,100.0,100.0,54.9,62.7,59.7,54.9,50.0,
